NAME,TICKER,PER,DATE,OPEN,HIGH,LOW,CLOSE,VOL,OPENINT
V.S. INDUSTRY BERHAD [S] (6963.KL),VS.KL,D,20010704,0.1821,0.1829,0.1805,0.1829,7041,0
V.S. INDUSTRY BERHAD [S] (6963.KL),VS.KL,D,20010705,0.1829,0.1869,0.1829,0.1861,6161,0
V.S. INDUSTRY BERHAD [S] (6963.KL),VS.KL,D,20010706,0.1869,0.1869,0.1845,0.1869,3898,0
V.S. INDUSTRY BERHAD [S] (6963.KL),VS.KL,D,20010709,0.1877,0.1885,0.1837,0.1837,3269,0
V.S. INDUSTRY BERHAD [S] (6963.KL),VS.KL,D,20010710,0.1837,0.1853,0.1837,0.1853,502,0
V.S. INDUSTRY BERHAD [S] (6963.KL),VS.KL,D,20010711,0.1829,0.1829,0.1829,0.1829,2263,0
V.S. INDUSTRY BERHAD [S] (6963.KL),VS.KL,D,20010712,0.1813,0.1813,0.1813,0.1813,628,0
V.S. INDUSTRY BERHAD [S] (6963.KL),VS.KL,D,20010713,0.1821,0.1853,0.1821,0.1837,2263,0
V.S. INDUSTRY BERHAD [S] (6963.KL),VS.KL,D,20010716,0.1837,0.1869,0.1837,0.1869,4526,0
V.S. INDUSTRY BERHAD [S] (6963.KL),VS.KL,D,20010717,0.1877,0.1988,0.1877,0.1988,9808,0
V.S. INDUSTRY BERHAD [S] (6963.KL),VS.KL,D,20010718,0.1988,0.2004,0.1972,0.1988,5532,0
V.S. INDUSTRY BERHAD [S] (6963.KL),VS.KL,D,20010719,0.1988,0.1988,0.1924,0.1956,7293,0
V.S. INDUSTRY BERHAD [S] (6963.KL),VS.KL,D,20010720,0.1932,0.1988,0.1932,0.1956,5029,0
V.S. INDUSTRY BERHAD [S] (6963.KL),VS.KL,D,20010723,0.1932,0.1956,0.1877,0.1901,2263,0
V.S. INDUSTRY BERHAD [S] (6963.KL),VS.KL,D,20010724,0.1901,0.1901,0.1901,0.1901,0,0
V.S. INDUSTRY BERHAD [S] (6963.KL),VS.KL,D,20010725,0.1909,0.1917,0.1909,0.1909,1131,0
V.S. INDUSTRY BERHAD [S] (6963.KL),VS.KL,D,20010726,0.1901,0.1901,0.1877,0.1901,880,0
V.S. INDUSTRY BERHAD [S] (6963.KL),VS.KL,D,20010727,0.194,0.194,0.1909,0.1909,1383,0
V.S. INDUSTRY BERHAD [S] (6963.KL),VS.KL,D,20010730,0.1924,0.2068,0.1909,0.202,3395,0
V.S. INDUSTRY BERHAD [S] (6963.KL),VS.KL,D,20010731,0.206,0.206,0.1948,0.2044,4778,0
V.S. INDUSTRY BERHAD [S] (6963.KL),VS.KL,D,20010801,0.206,0.2068,0.1996,0.2068,6287,0
V.S. INDUSTRY BERHAD [S] (6963.KL),VS.KL,D,20010802,0.2068,0.2115,0.2068,0.2068,3772,0
V.S. INDUSTRY BERHAD [S] (6963.KL),VS.KL,D,20010803,0.2052,0.2052,0.2036,0.2036,1383,0
V.S. INDUSTRY BERHAD [S] (6963.KL),VS.KL,D,20010806,0.2068,0.2076,0.2052,0.2052,1131,0
V.S. INDUSTRY BERHAD [S] (6963.KL),VS.KL,D,20010807,0.2004,0.2036,0.1988,0.1988,3898,0
V.S. INDUSTRY BERHAD [S] (6963.KL),VS.KL,D,20010808,0.2004,0.2004,0.1972,0.1988,2514,0
V.S. INDUSTRY BERHAD [S] (6963.KL),VS.KL,D,20010809,0.1988,0.1988,0.1924,0.194,1634,0
V.S. INDUSTRY BERHAD [S] (6963.KL),VS.KL,D,20010810,0.1924,0.1956,0.1909,0.1956,3143,0
V.S. INDUSTRY BERHAD [S] (6963.KL),VS.KL,D,20010813,0.1988,0.1988,0.1901,0.1909,2011,0
V.S. INDUSTRY BERHAD [S] (6963.KL),VS.KL,D,20010814,0.1917,0.1948,0.1917,0.1948,628,0
V.S. INDUSTRY BERHAD [S] (6963.KL),VS.KL,D,20010815,0.1972,0.1988,0.1956,0.1956,1257,0
V.S. INDUSTRY BERHAD [S] (6963.KL),VS.KL,D,20010816,0.1956,0.1988,0.1948,0.1988,2640,0
V.S. INDUSTRY BERHAD [S] (6963.KL),VS.KL,D,20010817,0.1988,0.2004,0.1988,0.1988,3395,0
V.S. INDUSTRY BERHAD [S] (6963.KL),VS.KL,D,20010820,0.1932,0.1948,0.1924,0.1948,502,0
V.S. INDUSTRY BERHAD [S] (6963.KL),VS.KL,D,20010821,0.1948,0.1948,0.194,0.194,754,0
V.S. INDUSTRY BERHAD [S] (6963.KL),VS.KL,D,20010822,0.1917,0.1956,0.1909,0.1956,1257,0
V.S. INDUSTRY BERHAD [S] (6963.KL),VS.KL,D,20010823,0.1948,0.1996,0.1948,0.1996,1383,0
V.S. INDUSTRY BERHAD [S] (6963.KL),VS.KL,D,20010824,0.1996,0.2028,0.1996,0.202,6413,0
